Protein,species,asymptote,mid,m,Tm,r2
F5H1U9,Homo sapiens K562 lysate,0.08502722866565463,50.17448967361662,994.5629653813846,50.658463182177925,0.9876036744452938
F5H1Y4_GOPC,Homo sapiens K562 lysate,0.19116958977121862,45.15143558845801,1899.1516552174453,45.69734422634181,0.9909539971378849
F5H1Y4,Homo sapiens K562 lysate,0.09916027380016686,46.60786057368698,1055.4685761518242,47.07126623928793,0.998152422135891
F5H5D3_TUBA1C,Homo sapiens K562 lysate,0.08354906954012714,46.27279753655431,785.5970538993718,46.78204800624861,0.9942983403581585
F5H5D3,Homo sapiens K562 lysate,0.008713446296338004,48.084068626983765,543.6911992966134,48.16226867638992,0.9940703500971964
F5H5P2_BCKDHA,Homo sapiens K562 lysate,0.10197851871447408,42.90149591975617,615.4792673525862,43.604166171292334,0.9848108307694382
F5H5P2,Homo sapiens K562 lysate,0.08549555878230183,47.593040515494586,780.8326474559074,48.14860473944762,0.9984366947756812
F5H5R8_NAT1,Homo sapiens K562 lysate,0.16047666120063833,45.36252360025551,707.1069881128213,46.53065504859039,0.9770612548270932
F5H5R8,Homo sapiens K562 lysate,0.10882159144358351,46.96975150571398,634.1416420393796,47.843952512633976,0.9923073594307515
F5H7Q8_MICB,Homo sapiens K562 lysate,0.3812868796307235,44.27112487207276,755.1552116900572,48.37436748059552,0.9661632067713375
F5H7Q8,Homo sapiens K562 lysate,0.31145069324247887,51.42555032318075,700.9829055352432,55.40515289827358,0.987509113851698
F6WH68_RTEL1,Homo sapiens K562 lysate,0.32028299522206966,50.02975722326235,1637.1518416842557,51.6798135531055,0.9087093835135012
F6WH68,Homo sapiens K562 lysate,0.11103546100524188,45.17255665986036,489.5632060881384,46.25111066412984,0.9330457136495157
F8VV59_NAP1L1,Homo sapiens K562 lysate,0.0644571595131364,50.05758578475882,4694.754044482409,50.16303034945563,0.9866668101367085
F8VV59,Homo sapiens K562 lysate,0.1580786885020453,53.221026757492076,1260.2383191080175,54.09488476135654,0.9620281369685503
F8VVA7_COPZ1,Homo sapiens K562 lysate,3.01617829370781e-23,52.33295066856504,554.2778623559766,52.33743955863544,0.9756023235811971
F8VVA7,Homo sapiens K562 lysate,0.13340462001643363,50.99123418293828,879.10727665545,51.92848343259017,0.9944493744753663
F8VVS7_CASP9,Homo sapiens K562 lysate,0.10040628311886532,46.694509574113354,697.0571132242495,47.415961381977795,0.9860528569369872
F8VVS7,Homo sapiens K562 lysate,0.07039172806363615,46.88242011120714,1063.508054262358,47.20612066713154,0.9942871850747893
F8WA39_MTMR1,Homo sapiens K562 lysate,0.21138690323727008,46.80897429716466,954.5310524373587,48.11349582669617,0.9711114210861866
F8WA39,Homo sapiens K562 lysate,0.0965233215580491,46.774905700413086,721.3535660389917,47.44426723841618,0.9963073390142497
F8WCF6_ARPC4,Homo sapiens K562 lysate,0.055011821581344676,54.48501807654961,997.899089056424,54.836987681457565,0.974243859279538
F8WCF6,Homo sapiens K562 lysate,0.4026061551978251,53.5388180484824,1290.2357711301477,57.47466869763787,0.9912676250653364
F8WEC0_MMADHC,Homo sapiens K562 lysate,0.1212285198941286,49.700888989035946,619.4494243405859,50.837978124652366,0.9861859968865789
F8WEC0,Homo sapiens K562 lysate,0.16878445659586672,48.75470520575385,695.9584884869281,50.21146688198929,0.9964247743205297
G3V203_RPL18,Homo sapiens K562 lysate,0.21969741859539724,50.31258763921913,1100.291877028605,51.695886706421476,0.987419576522945
G3V203,Homo sapiens K562 lysate,0.34599334166302603,54.93648486494382,939.0340494396978,59.0014512531726,0.9413024670999051
G3V3G9_DCAF8,Homo sapiens K562 lysate,0.19146170864619472,51.547139605130475,1335.4941079525936,52.544554398735464,0.9820029972388765
G3V3G9,Homo sapiens K562 lysate,0.08848156595745213,50.426566472351055,1050.7787123034338,50.90478586868494,0.9980105582786418
G3V5N8_ZFYVE1,Homo sapiens K562 lysate,0.2818347992414973,45.17327526865031,1094.3995492314723,46.793287403707396,0.9679162944093547
G3V5N8,Homo sapiens K562 lysate,0.29448993516714206,50.978473211102816,715.7563190487016,54.44192766078873,0.9815584037747646
G3V5T9_CDK2,Homo sapiens K562 lysate,0.137452548639218,48.04332978196281,983.7616607302081,48.816408337091076,0.9989029623711944
G3V5T9,Homo sapiens K562 lysate,0.15762691844888144,49.32338038540891,756.9722067398742,50.582622882001765,0.9983321662108751
G3XAI2_LAMB1,Homo sapiens K562 lysate,0.33253560270329413,48.365643339106335,820.8003097852179,51.71730276541175,0.9849500860348439
G3XAI2,Homo sapiens K562 lysate,0.21127867303732126,50.900979583749915,798.0338425776649,52.75869390248494,0.9953440870784463
G5E975_SMARCB1,Homo sapiens K562 lysate,0.11185606806277883,44.672255251697045,820.8756643669205,45.30742112097636,0.9986625761769004
G5E975,Homo sapiens K562 lysate,0.08440085374855141,44.75425911854881,894.7752812412962,45.179468557362554,0.9977060023321898
